marca,item_fuente,item_canonico,sku_master,familia_producto,subfamilia,tamano,unidad_base,precio_regular,categoria_fuente,url_fuente,precio_base_fuente,sku_comparable
Popeyes,Vasote Salsatón,Vasote Salsatón,POPEYES_VASOTE_SALSATON,Salsa,Complementos,,porcion,9.9,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,9.9,CMP_VASOTE_SALSATON
Popeyes,Salsa 3 oz,Salsa 3 oz,POPEYES_SALSA_3_OZ,Salsa,Complementos,,porcion,3.0,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,3.0,CMP_SALSA
Popeyes,Coca Cola 500ml,Coca Cola 500ml,POPEYES_COCA_COLA_500ML,Bebida,Complementos,,botella,4.5,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.5,CMP_COCA_COLA
Popeyes,Coca Cola S/Azúcar 500ml,Coca Cola S/Azúcar 500ml,POPEYES_COCA_COLA_S_AZUCAR_500ML,Bebida,Complementos,,botella,4.5,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.5,CMP_COCA_COLA
Popeyes,Inca Kola 500ml,Inca Kola 500ml,POPEYES_INCA_KOLA_500ML,Bebida,Complementos,,botella,4.5,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.5,CMP_INCA_KOLA
Popeyes,Inca Kola S/Azúcar 500ml,Inca Kola S/Azúcar 500ml,POPEYES_INCA_KOLA_S_AZUCAR_500ML,Bebida,Complementos,,botella,4.5,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.5,CMP_INCA_KOLA
Popeyes,Coca Cola 1.5L,Coca Cola 1.5L,POPEYES_COCA_COLA_1_5L,Bebida,Complementos,,botella,10.0,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,10.0,CMP_COCA_COLA_1_5L
Popeyes,Coca Cola S/Azúcar 1.5L,Coca Cola S/Azúcar 1.5L,POPEYES_COCA_COLA_S_AZUCAR_1_5L,Bebida,Complementos,,botella,10.0,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,10.0,CMP_COCA_COLA_1_5L
Popeyes,Inca Kola 1.5L,Inca Kola 1.5L,POPEYES_INCA_KOLA_1_5L,Bebida,Complementos,,botella,10.0,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,10.0,CMP_INCA_KOLA_1_5L
Popeyes,San Luis con gas 625ml.,San Luis con gas 625ml.,POPEYES_SAN_LUIS_CON_GAS_625ML,Bebida,Complementos,,botella,4.9,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.9,CMP_SAN_LUIS
Popeyes,San Luis sin gas 750ml.,San Luis sin gas 750ml.,POPEYES_SAN_LUIS_SIN_GAS_750ML,Bebida,Complementos,,botella,4.9,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,4.9,CMP_SAN_LUIS
Popeyes,Pie de Manzana,Pie de Manzana,POPEYES_PIE_DE_MANZANA,Postre,Complementos,,unidad,6.9,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,6.9,CMP_PIE_DE_MANZANA
Popeyes,Pie Dúo,Pie Dúo,POPEYES_PIE_DUO,Postre,Complementos,,unidad,10.0,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,10.0,CMP_PIE_DUO
Popeyes,Regalo de Cumpleaños,Regalo de Cumpleaños,POPEYES_REGALO_DE_CUMPLEANOS,Complementos,Complementos,,unidad,5.0,Complementos,https://www.popeyes.com.pe/menu/piqueos-y-complementos,5.0,CMP_REGALO_DE_CUMPLEANOS
