marca,item_fuente,item_canonico,sku_master,familia_producto,subfamilia,tamano,unidad_base,precio_regular,categoria_fuente,url_fuente,precio_base_fuente,sku_comparable,ID_PRODUCTO,SKU,nombre_producto,descripcion,tamaño,categoria,fecha_inicio,fecha_fin,fuente_precio
Bembos,Hamburguesa La Churrita,La Churrita Regular,BEMBOS_LA_CHURRITA_REGULAR,Hamburguesa,Hamburguesas,Regular,unidad,18.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_LA_CHURRITA_REGULAR,,,,,,,,,
Bembos,Hamburguesa La Churrita,La Churrita Mediana,BEMBOS_LA_CHURRITA_MEDIANA,Hamburguesa,Hamburguesas,Mediana,unidad,21.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_LA_CHURRITA_MEDIANA,,,,,,,,,
Bembos,Hamburguesa La Churrita,La Churrita Grande,BEMBOS_LA_CHURRITA_GRANDE,Hamburguesa,Hamburguesas,Grande,unidad,24.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_LA_CHURRITA_GRANDE,,,,,,,,,
Bembos,Hamburguesa Chicharronera,Chicharronera Regular,BEMBOS_CHICHARRONERA_REGULAR,Hamburguesa,Hamburguesas,Regular,unidad,14.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,17.9,CMP_CHICHARRONERA_REGULAR,,,,,,,,,
Bembos,Hamburguesa Chicharronera,Chicharronera Mediana,BEMBOS_CHICHARRONERA_MEDIANA,Hamburguesa,Hamburguesas,Mediana,unidad,17.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,17.9,CMP_CHICHARRONERA_MEDIANA,,,,,,,,,
Bembos,Hamburguesa Chicharronera,Chicharronera Grande,BEMBOS_CHICHARRONERA_GRANDE,Hamburguesa,Hamburguesas,Grande,unidad,20.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,17.9,CMP_CHICHARRONERA_GRANDE,,,,,,,,,
Bembos,Hamburguesa Cheese,Cheese Regular,BEMBOS_CHEESE_REGULAR,Hamburguesa,Cheese,Regular,unidad,16.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,19.9,CMP_CHEESE_REGULAR,,,,,,,,,
Bembos,Hamburguesa Cheese,Cheese Mediana,BEMBOS_CHEESE_MEDIANA,Hamburguesa,Cheese,Mediana,unidad,19.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,19.9,CMP_CHEESE_MEDIANA,,,,,,,,,
Bembos,Hamburguesa Cheese,Cheese Grande,BEMBOS_CHEESE_GRANDE,Hamburguesa,Cheese,Grande,unidad,22.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,19.9,CMP_CHEESE_GRANDE,,,,,,,,,
Bembos,Hamburguesa Hawaiana,Hawaiana Regular,BEMBOS_HAWAIANA_REGULAR,Hamburguesa,Hamburguesas,Regular,unidad,18.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_HAWAIANA_REGULAR,,,,,,,,,
Bembos,Hamburguesa Hawaiana,Hawaiana Mediana,BEMBOS_HAWAIANA_MEDIANA,Hamburguesa,Hamburguesas,Mediana,unidad,21.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_HAWAIANA_MEDIANA,,,,,,,,,
Bembos,Hamburguesa Hawaiana,Hawaiana Grande,BEMBOS_HAWAIANA_GRANDE,Hamburguesa,Hamburguesas,Grande,unidad,24.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_HAWAIANA_GRANDE,,,,,,,,,
Bembos,Hamburguesa Clásica,Clásica Regular,BEMBOS_CLASICA_REGULAR,Hamburguesa,Hamburguesas,Regular,unidad,14.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,17.9,CMP_CLASICA_REGULAR,,,,,,,,,
Bembos,Hamburguesa Clásica,Clásica Mediana,BEMBOS_CLASICA_MEDIANA,Hamburguesa,Hamburguesas,Mediana,unidad,17.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,17.9,CMP_CLASICA_MEDIANA,,,,,,,,,
Bembos,Hamburguesa Clásica,Clásica Grande,BEMBOS_CLASICA_GRANDE,Hamburguesa,Hamburguesas,Grande,unidad,20.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,17.9,CMP_CLASICA_GRANDE,,,,,,,,,
Bembos,Salchinuggets,Salchinuggets Regular,BEMBOS_SALCHINUGGETS_REGULAR,Pollo,Nuggets,Regular,unidad,14.9,Complementos,https://www.bembos.com.pe/menu/complementos,17.9,CMP_SALCHINUGGETS_REGULAR,,,,,,,,,
Bembos,Salchinuggets,Salchinuggets Mediana,BEMBOS_SALCHINUGGETS_MEDIANA,Pollo,Nuggets,Mediana,unidad,17.9,Complementos,https://www.bembos.com.pe/menu/complementos,17.9,CMP_SALCHINUGGETS_MEDIANA,,,,,,,,,
Bembos,Salchinuggets,Salchinuggets Grande,BEMBOS_SALCHINUGGETS_GRANDE,Pollo,Nuggets,Grande,unidad,20.9,Complementos,https://www.bembos.com.pe/menu/complementos,17.9,CMP_SALCHINUGGETS_GRANDE,,,,,,,,,
Bembos,Salchipapa,Salchipapa,BEMBOS_SALCHIPAPA,Complementos,Complementos,,unidad,10.9,Complementos,https://www.bembos.com.pe/menu/complementos,10.9,CMP_SALCHIPAPA,,,,,,,,,
Bembos,Papas Fritas,Papas Fritas Regular,BEMBOS_PAPAS_FRITAS_REGULAR,Papas,Papa Frita,Regular,porcion,3.9,Complementos,https://www.bembos.com.pe/menu/complementos,6.9,CMP_PAPAS_FRITAS_REGULAR,,,,,,,,,
Bembos,Papas Fritas,Papas Fritas Mediana,BEMBOS_PAPAS_FRITAS_MEDIANA,Papas,Papa Frita,Mediana,porcion,6.9,Complementos,https://www.bembos.com.pe/menu/complementos,6.9,CMP_PAPAS_FRITAS_MEDIANA,,,,,,,,,
Bembos,Papas Fritas,Papas Fritas Grande,BEMBOS_PAPAS_FRITAS_GRANDE,Papas,Papa Frita,Grande,porcion,9.9,Complementos,https://www.bembos.com.pe/menu/complementos,6.9,CMP_PAPAS_FRITAS_GRANDE,,,,,,,,,
Bembos,Cheese Fingers,Cheese Fingers,BEMBOS_CHEESE_FINGERS,Complementos,Cheese,,unidad,13.9,Complementos,https://www.bembos.com.pe/menu/complementos,13.9,CMP_CHEESE_FINGERS,,,,,,,,,
Bembos,Nuggets,Nuggets Regular,BEMBOS_NUGGETS_REGULAR,Pollo,Nuggets,Regular,unidad,9.9,Complementos,https://www.bembos.com.pe/menu/complementos,12.9,CMP_NUGGETS_REGULAR,,,,,,,,,
Bembos,Nuggets,Nuggets Mediana,BEMBOS_NUGGETS_MEDIANA,Pollo,Nuggets,Mediana,unidad,12.9,Complementos,https://www.bembos.com.pe/menu/complementos,12.9,CMP_NUGGETS_MEDIANA,,,,,,,,,
Bembos,Nuggets,Nuggets Grande,BEMBOS_NUGGETS_GRANDE,Pollo,Nuggets,Grande,unidad,15.9,Complementos,https://www.bembos.com.pe/menu/complementos,12.9,CMP_NUGGETS_GRANDE,,,,,,,,,
Bembos,Nuggetspapa,Nuggetspapa Regular,BEMBOS_NUGGETSPAPA_REGULAR,Pollo,Nuggets,Regular,unidad,12.9,Complementos,https://www.bembos.com.pe/menu/complementos,15.9,CMP_NUGGETSPAPA_REGULAR,,,,,,,,,
Bembos,Nuggetspapa,Nuggetspapa Mediana,BEMBOS_NUGGETSPAPA_MEDIANA,Pollo,Nuggets,Mediana,unidad,15.9,Complementos,https://www.bembos.com.pe/menu/complementos,15.9,CMP_NUGGETSPAPA_MEDIANA,,,,,,,,,
Bembos,Nuggetspapa,Nuggetspapa Grande,BEMBOS_NUGGETSPAPA_GRANDE,Pollo,Nuggets,Grande,unidad,18.9,Complementos,https://www.bembos.com.pe/menu/complementos,15.9,CMP_NUGGETSPAPA_GRANDE,,,,,,,,,
Bembos,Sundae Suspiro,Sundae Suspiro,BEMBOS_SUNDAE_SUSPIRO,Postre,Complementos,,unidad,7.9,Complementos,https://www.bembos.com.pe/menu/complementos,7.9,CMP_SUNDAE_SUSPIRO,,,,,,,,,
