sku_master,sku_comparable,fecha_inicio,fecha_fin,precio_regular,fuente_precio,url_fuente,precio_base_fuente
BEMBOS_SALCHINUGGETS_REGULAR,CMP_SALCHINUGGETS_REGULAR,2026-05-01,,14.9,web_bembos,https://www.bembos.com.pe/menu/complementos,17.9
BEMBOS_SALCHINUGGETS_MEDIANA,CMP_SALCHINUGGETS_MEDIANA,2026-05-01,,17.9,web_bembos,https://www.bembos.com.pe/menu/complementos,17.9
BEMBOS_SALCHINUGGETS_GRANDE,CMP_SALCHINUGGETS_GRANDE,2026-05-01,,20.9,web_bembos,https://www.bembos.com.pe/menu/complementos,17.9
BEMBOS_SALCHIPAPA,CMP_SALCHIPAPA,2026-05-01,,10.9,web_bembos,https://www.bembos.com.pe/menu/complementos,10.9
BEMBOS_PAPAS_FRITAS_REGULAR,CMP_PAPAS_FRITAS_REGULAR,2026-05-01,,3.9,web_bembos,https://www.bembos.com.pe/menu/complementos,6.9
BEMBOS_PAPAS_FRITAS_MEDIANA,CMP_PAPAS_FRITAS_MEDIANA,2026-05-01,,6.9,web_bembos,https://www.bembos.com.pe/menu/complementos,6.9
BEMBOS_PAPAS_FRITAS_GRANDE,CMP_PAPAS_FRITAS_GRANDE,2026-05-01,,9.9,web_bembos,https://www.bembos.com.pe/menu/complementos,6.9
BEMBOS_CHEESE_FINGERS,CMP_CHEESE_FINGERS,2026-05-01,,13.9,web_bembos,https://www.bembos.com.pe/menu/complementos,13.9
BEMBOS_NUGGETS_REGULAR,CMP_NUGGETS_REGULAR,2026-05-01,,9.9,web_bembos,https://www.bembos.com.pe/menu/complementos,12.9
BEMBOS_NUGGETS_MEDIANA,CMP_NUGGETS_MEDIANA,2026-05-01,,12.9,web_bembos,https://www.bembos.com.pe/menu/complementos,12.9
BEMBOS_NUGGETS_GRANDE,CMP_NUGGETS_GRANDE,2026-05-01,,15.9,web_bembos,https://www.bembos.com.pe/menu/complementos,12.9
BEMBOS_NUGGETSPAPA_REGULAR,CMP_NUGGETSPAPA_REGULAR,2026-05-01,,12.9,web_bembos,https://www.bembos.com.pe/menu/complementos,15.9
BEMBOS_NUGGETSPAPA_MEDIANA,CMP_NUGGETSPAPA_MEDIANA,2026-05-01,,15.9,web_bembos,https://www.bembos.com.pe/menu/complementos,15.9
BEMBOS_NUGGETSPAPA_GRANDE,CMP_NUGGETSPAPA_GRANDE,2026-05-01,,18.9,web_bembos,https://www.bembos.com.pe/menu/complementos,15.9
BEMBOS_SUNDAE_SUSPIRO,CMP_SUNDAE_SUSPIRO,2026-05-01,,7.9,web_bembos,https://www.bembos.com.pe/menu/complementos,7.9
BEMBOS_SUNDAE_CHOCOTEJA,CMP_SUNDAE_CHOCOTEJA,2026-05-01,,7.9,web_bembos,https://www.bembos.com.pe/menu/complementos,7.9
BEMBOS_SUNDAE_CHOCOLUCUMA,CMP_SUNDAE_CHOCOLUCUMA,2026-05-01,,7.9,web_bembos,https://www.bembos.com.pe/menu/complementos,7.9
BEMBOS_SUNDAE_CHOCOMARACUYA,CMP_SUNDAE_CHOCOMARACUYA,2026-05-01,,7.9,web_bembos,https://www.bembos.com.pe/menu/complementos,7.9
BEMBOS_COCA_COLA_SABOR_ORIGINAL_500_ML,CMP_COCA_COLA,2026-05-01,,5.9,web_bembos,https://www.bembos.com.pe/menu/complementos,5.9
BEMBOS_COCA_COLA_SIN_AZUCAR_500_ML,CMP_COCA_COLA_SIN_AZUCAR,2026-05-01,,5.9,web_bembos,https://www.bembos.com.pe/menu/complementos,5.9
BEMBOS_INCA_KOLA_SABOR_ORIGINAL_500_ML,CMP_INCA_KOLA,2026-05-01,,5.9,web_bembos,https://www.bembos.com.pe/menu/complementos,5.9
BEMBOS_INCA_KOLA_SIN_AZUCAR_500_ML,CMP_INCA_KOLA_SIN_AZUCAR,2026-05-01,,5.9,web_bembos,https://www.bembos.com.pe/menu/complementos,5.9
BEMBOS_AGUA_SAN_LUIS_SIN_GAS_625_ML,CMP_AGUA_SAN_LUIS,2026-05-01,,4.9,web_bembos,https://www.bembos.com.pe/menu/complementos,4.9
BEMBOS_POLLO_PARRILLERO_REGULAR,CMP_POLLO_PARRILLERO_REGULAR,2026-05-01,,12.9,web_bembos,https://www.bembos.com.pe/menu/pollo,15.9
BEMBOS_POLLO_PARRILLERO_MEDIANA,CMP_POLLO_PARRILLERO_MEDIANA,2026-05-01,,15.9,web_bembos,https://www.bembos.com.pe/menu/pollo,15.9
BEMBOS_POLLO_PARRILLERO_GRANDE,CMP_POLLO_PARRILLERO_GRANDE,2026-05-01,,18.9,web_bembos,https://www.bembos.com.pe/menu/pollo,15.9
BEMBOS_CHICKEN_GRILL_REGULAR,CMP_CHICKEN_GRILL_REGULAR,2026-05-01,,14.9,web_bembos,https://www.bembos.com.pe/menu/pollo,17.9
BEMBOS_CHICKEN_GRILL_MEDIANA,CMP_CHICKEN_GRILL_MEDIANA,2026-05-01,,17.9,web_bembos,https://www.bembos.com.pe/menu/pollo,17.9
BEMBOS_CHICKEN_GRILL_GRANDE,CMP_CHICKEN_GRILL_GRANDE,2026-05-01,,20.9,web_bembos,https://www.bembos.com.pe/menu/pollo,17.9
BEMBOS_BEMBROSTER_CLASICA_REGULAR,CMP_BEMBROSTER_CLASICA_REGULAR,2026-05-01,,11.9,web_bembos,https://www.bembos.com.pe/menu/pollo,14.9
BEMBOS_BEMBROSTER_CLASICA_MEDIANA,CMP_BEMBROSTER_CLASICA_MEDIANA,2026-05-01,,14.9,web_bembos,https://www.bembos.com.pe/menu/pollo,14.9
BEMBOS_BEMBROSTER_CLASICA_GRANDE,CMP_BEMBROSTER_CLASICA_GRANDE,2026-05-01,,17.9,web_bembos,https://www.bembos.com.pe/menu/pollo,14.9
BEMBOS_MENU_TAYPA_REGULAR,CMP_MENU_TAYPA_REGULAR,2026-05-01,,18.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,21.9
BEMBOS_MENU_TAYPA_MEDIANA,CMP_MENU_TAYPA_MEDIANA,2026-05-01,,21.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,21.9
BEMBOS_MENU_TAYPA_GRANDE,CMP_MENU_TAYPA_GRANDE,2026-05-01,,24.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,21.9
BEMBOS_MENU_A_LO_POBRE_REGULAR,CMP_MENU_A_LO_POBRE_REGULAR,2026-05-01,,17.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,20.9
